date,team_name,opponent,w_l,set_wins,set_loss,s,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,block_solos,block_assists,opp_kills,opp_errors,opp_total_attacks,opp_hit_pct,opp_assists,opp_aces,opp_serr,opp_digs,opp_block_solos,opp_block_assists,ms
2021-01-22,Illinois Fighting Illini,@ Iowa,win,3,1,4,55,28,139,0.194,48,14,10,61,1,25,36,25,131,0.084,30,6,2,45,2,18,0
2021-01-23,Illinois Fighting Illini,@ Iowa,win,3,1,4,49,21,122,0.23,44,10,11,46,2,22,37,24,117,0.111,36,1,8,43,1,20,0
2021-01-29,Illinois Fighting Illini,Wisconsin,loss,0,3,3,36,19,101,0.168,27,3,9,34,1,4,48,9,105,0.371,42,4,9,39,2,12,0
2021-01-30,Illinois Fighting Illini,Wisconsin,loss,1,3,4,48,22,129,0.202,45,7,10,47,1,12,55,14,123,0.333,46,5,11,47,1,14,0
2021-02-05,Illinois Fighting Illini,@ Penn St.,loss,1,3,4,49,19,112,0.268,47,5,11,48,0,14,52,14,124,0.306,48,5,15,42,2,12,0
2021-02-06,Illinois Fighting Illini,@ Penn St.,loss,2,3,5,55,31,167,0.144,54,9,14,57,3,16,63,21,148,0.284,56,9,10,67,3,20,0
2021-02-09,Illinois Fighting Illini,@  Northwestern,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15,141,0.291,48,2,12,49,4,14,0
2021-02-13,Illinois Fighting Illini,@  Northwestern,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,63,18,168,0.268,52,2,10,77,1,24,0
2021-02-19,Illinois Fighting Illini,Ohio St.,loss,1,3,4,47,29,137,0.131,43,6,10,53,2,12,44,15,103,0.282,38,2,3,47,2,12,0
2021-02-20,Illinois Fighting Illini,Ohio St.,loss,2,3,5,59,29,178,0.169,53,11,6,76,0,16,39,14,102,0.245,35,4,8,39,1,12,0
2021-02-27,Illinois Fighting Illini,@  Michigan St.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,57,18,179,0.218,52,4,6,72,2,24,0
2021-02-28,Illinois Fighting Illini,@  Michigan St.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,97,0.216,30,2,5,49,1,28,0
2021-03-05,Illinois Fighting Illini,Nebraska,loss,0,3,3,36,19,111,0.153,31,5,10,35,1,12,32,24,135,0.059,30,4,9,55,0,29,0
2021-03-06,Illinois Fighting Illini,Nebraska,loss,0,3,3,41,25,118,0.136,36,6,11,39,0,8,52,21,139,0.223,51,8,11,64,1,16,0
2021-03-12,Illinois Fighting Illini,@ Minnesota,loss,2,3,5,71,33,185,0.205,64,5,6,90,1,22,31,20,93,0.118,29,1,3,30,1,4,0
2021-03-13,Illinois Fighting Illini,@ Minnesota,loss,0,3,3,32,29,124,0.024,31,7,10,45,2,6,44,29,125,0.12,34,1,8,48,2,14,0
2021-03-19,Illinois Fighting Illini,Maryland,win,3,1,4,51,34,162,0.105,44,12,12,67,2,10,43,14,118,0.246,38,6,6,56,0,24,0
2021-03-20,Illinois Fighting Illini,Maryland,win,3,2,5,63,30,171,0.193,53,5,14,60,1,14,63,25,179,0.212,57,6,7,80,0,28,0
2021-03-26,Illinois Fighting Illini,Indiana,win,3,0,3,41,14,95,0.284,35,7,8,33,1,12,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,Illinois Fighting Illini,Indiana,win,3,1,4,52,22,131,0.229,47,8,10,46,2,27,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,Illinois Fighting Illini,@ Purdue,loss,0,3,3,33,22,127,0.087,32,2,5,51,0,12,0,0,0,0,0,0,0,0,0,0,0
2021-04-03,Illinois Fighting Illini,@ Purdue,win,3,2,5,66,28,186,0.204,55,2,8,77,0,18,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,Illinois Fighting Illini,"UC Santa Barbara @ Milwaukee, WI",win,3,2,5,63,33,178,0.169,54,12,10,59,3,18,61,31,164,0.183,58,3,6,73,4,20,NA
