event_date,purchase_revenue_in_usd,transaction_id,item_name,item_category,price_in_usd,quantity,item_revenue_in_usd,shipping_tier,payment_type,category,country,region,city
20201201,40,10648,Google Hemp Tote,Clearance,12,1,12,FedEx Ground,Pay with credit card,mobile,United States,California,San Jose
20201201,40,10648,Android SM S/F18 Sticker Sheet,Accessories,2,1,2,FedEx Ground,Pay with credit card,mobile,United States,California,San Jose
20201201,40,10648,Android Buoy Bottle,Drinkware,4,1,4,FedEx Ground,Pay with credit card,mobile,United States,California,San Jose
20201201,40,10648,Google Mural Sticker Sheet,Small Goods,2,1,2,FedEx Ground,Pay with credit card,mobile,United States,California,San Jose
20201201,40,10648,Google Clear Pen 4-Pack,Office,3,1,3,FedEx Ground,Pay with credit card,mobile,United States,California,San Jose
20201201,40,10648,Google Clear Framed Blue Shades,Accessories,3,1,3,FedEx Ground,Pay with credit card,mobile,United States,California,San Jose
20201201,40,10648,Stan and Friends Tee Green,Apparel,14,1,14,FedEx Ground,Pay with credit card,mobile,United States,California,San Jose
20201201,62,171491,Google Zip Hoodie F/C,Apparel,48,1,48,FedEx Ground,Pay with credit card,desktop,United States,Texas,Lubbock
20201201,62,171491,Google Thermal Tumbler Navy,Drinkware,14,1,14,FedEx Ground,Pay with credit card,desktop,United States,Texas,Lubbock
20201201,44,174748,Google Crewneck Sweatshirt Grey,Uncategorized Items,44,1,44,FedEx Ground,Pay with credit card,desktop,Singapore,(not set),Singapore
20201201,28,175159,Google Beekeepers Onesie Pink,Apparel,14,1,14,FedEx Ground,Pay with credit card,desktop,France,Bourgogne-Franche-Comte,(not set)
20201201,28,175159,Google Infant Hero Onesie Grey,Apparel,14,1,14,FedEx Ground,Pay with credit card,desktop,France,Bourgogne-Franche-Comte,(not set)
20201201,36,183209,Google NYC Campus Sticker,Campus Collection,1,1,1,FedEx Ground,Pay with credit card,mobile,United States,Georgia,(not set)
20201201,36,183209,Google SF Campus Lapel Pin,Campus Collection,4,1,4,FedEx Ground,Pay with credit card,mobile,United States,Georgia,(not set)
20201201,36,183209,Noogler Android Figure,Accessories,16,1,16,FedEx Ground,Pay with credit card,mobile,United States,Georgia,(not set)
20201201,36,183209,Google Maps Pin,New,7,2,14,FedEx Ground,Pay with credit card,mobile,United States,Georgia,(not set)
20201201,92,186300,Google Women's Puff Jacket Black,Apparel,92,1,92,FedEx Ground,Pay with credit card,desktop,United States,California,Burlingame
20201201,371,194698,Google Utility Bag Grey,Bags,7,53,371,FedEx Ground,Pay with credit card,desktop,Malta,(not set),(not set)
20201201,38,198538,Google Thermal Tumbler Navy,Drinkware,14,1,14,FedEx Ground,Pay with credit card,mobile,United States,New Hampshire,(not set)
20201201,38,198538,Google Youth FC Longsleeve Charcoal,Apparel,24,1,24,FedEx Ground,Pay with credit card,mobile,United States,New Hampshire,(not set)
20201201,46,234412,Unisex Google Pocket Tee Grey,Apparel,16,1,16,FedEx Ground,Pay with credit card,mobile,United States,Connecticut,(not set)
20201201,46,234412,Super G Unisex Joggers,Shop by Brand,30,1,30,FedEx Ground,Pay with credit card,mobile,United States,Connecticut,(not set)
20201201,96,259683,Google Campus Bike,Accessories,32,1,32,FedEx Ground,Pay with credit card,mobile,Netherlands,North Brabant,(not set)
20201201,96,259683,Google Dino Game Tee,Apparel,32,2,64,FedEx Ground,Pay with credit card,mobile,Netherlands,North Brabant,(not set)
20201201,128,262333,Google F/C Longsleeve Ash,Apparel,24,1,24,FedEx Ground,Pay with credit card,mobile,Peru,(not set),(not set)
20201201,128,262333,Google Badge Heavyweight Pullover Black,Apparel,46,1,46,FedEx Ground,Pay with credit card,mobile,Peru,(not set),(not set)
20201201,128,262333,#IamRemarkable Unisex T-Shirt,Apparel,10,1,10,FedEx Ground,Pay with credit card,mobile,Peru,(not set),(not set)
20201201,128,262333,Google F/C Longsleeve Charcoal,Apparel,24,1,24,FedEx Ground,Pay with credit card,mobile,Peru,(not set),(not set)
20201201,128,262333,Google F/C Longsleeve Charcoal,Apparel,24,1,24,FedEx Ground,Pay with credit card,mobile,Peru,(not set),(not set)
20201201,14,271741,Google Leather Strap Hat Blue,Apparel,14,1,14,FedEx Ground,Pay with credit card,desktop,United States,New York,(not set)
20201201,16,280376,YouTube Jotter Task Pad,Shop by Brand,2,4,10,FedEx Ground,Pay with credit card,desktop,United States,Florida,(not set)
20201201,16,280376,Google NYC Campus Mug,Campus Collection,7,1,7,FedEx Ground,Pay with credit card,desktop,United States,Florida,(not set)
20201201,183,289788,Google NYC Campus Zip Hoodie,Campus Collection,32,1,32,UPS Ground,Pay with credit card,mobile,Spain,Catalonia,Barcelona
