year,word,n,n_cume
2017,ability,1,1
2019,ability,1,2
2022,ability,2,4
2020,able,1,1
2021,able,1,2
2020,absence,1,1
2022,absence,1,2
2019,absolutely,1,1
2016,abstract,1,1
2019,abstract,1,2
2017,abstracts,1,1
2021,acad,1,1
2019,academia,1,1
2021,academy,1,1
2016,access,2,2
2019,access,4,6
2020,access,3,9
2021,access,1,10
2021,accessed,1,1
2017,accessible,1,1
2018,accessible,3,4
2020,accessible,1,5
2022,accessible,1,6
2018,accessibly,1,1
2019,accessing,1,1
2020,accessing,2,3
2021,accessing,1,4
2020,account,1,1
2021,accountants,1,1
2021,accounting,1,1
2021,accountingauditing,4,4
2016,achieve,1,1
2019,achieve,1,2
2018,achieved,1,1
2021,achieved,1,2
2022,achievement,1,1
2018,achievements,1,1
2018,achieving,1,1
2017,across,1,1
2018,across,2,3
2021,across,2,5
2022,across,1,6
2018,actions,1,1
2018,active,1,1
2019,active,1,2
2020,active,1,3
2017,activities,1,1
2018,activities,5,6
2019,acts,1,1
2017,adaptation,1,1
2018,adapted,1,1
2017,adapting,1,1
2016,add,1,1
2018,add,1,2
2020,add,1,3
2022,add,1,4
2016,additional,1,1
2017,additional,2,3
2018,additional,2,5
2019,additional,1,6
2017,additionally,1,1
2018,additionally,1,2
2023,additionally,1,3
2016,address,1,1
2019,address,2,3
2021,address,2,5
2022,address,1,6
2022,addressed,1,1
2022,addresses,4,4
2023,addresses,1,5
2019,addressing,2,2
2021,addressing,1,3
2023,adhere,1,1
2020,adhoc,1,1
2021,adjust,1,1
2018,adjustment,1,1
2021,adjustments,1,1
2017,administrator,1,1
2021,administrator,1,2
2021,adopt,1,1
2018,adoption,2,2
2021,advanced,1,1
2021,advancements,1,1
2018,advocacy,1,1
2019,afl,1,1
2021,africa,4,4
2021,african,1,1
2019,afterwards,1,1
2021,age,1,1
2021,aged,1,1
2019,agencies,1,1
2020,aggregate,1,1
2022,aggregating,1,1
2018,agnostic,1,1
2018,ago,1,1
2021,ago,1,2
2018,agriculture,1,1
2019,aid,1,1
2019,aim,4,4
2021,aim,2,6
2022,aim,2,8
2020,aimed,1,1
2020,aiming,1,1
2016,aims,3,3
2017,aims,5,8
2018,aims,6,14
2019,aims,4,18
2020,aims,4,22
2021,aims,2,24
2022,aims,3,27
2023,aims,4,31
2018,al,1,1
2021,al,1,2
2022,alert,1,1
2019,alexgrocenauedu,1,1
2023,algorithm,1,1
2018,algorithms,2,2
2023,aligns,1,1
2018,alleviate,1,1
2022,allmanual,1,1
2016,allow,1,1
2017,allow,1,2
2018,allow,3,5
2019,allow,2,7
2020,allow,1,8
2017,allowing,1,1
2019,allowing,1,2
2016,allows,1,1
2018,allows,1,2
2019,allows,2,4
2022,allows,1,5
2018,allr,1,1
2017,along,1,1
2019,along,1,2
2021,along,1,3
2018,already,2,2
2019,already,2,4
2020,already,2,6
2021,already,1,7
2017,also,3,3
2018,also,7,10
2019,also,3,13
2020,also,3,16
2021,also,2,18
2022,also,2,20
2021,alternatives,1,1
2016,although,2,2
2019,although,1,3
2020,although,1,4
2021,although,1,5
2021,altimeter,1,1
2020,altrep,1,1
2019,amount,1,1
2017,analyse,1,1
2019,analyses,3,3
2016,analysis,2,2
2018,analysis,1,3
2019,analysis,6,9
2020,analysis,2,11
2021,analysis,2,13
2022,analysis,2,15
2020,analytical,1,1
2020,analytics,1,1
2018,analyze,1,1
2019,analyze,1,2
2022,analyze,1,3
2017,analyzed,1,1
2018,andor,1,1
2016,andrew,1,1
2018,annotate,1,1
2018,annotation,1,1
2021,annual,1,1
2018,answer,1,1
2017,anyone,1,1
2018,anyone,1,2
2017,anywhere,1,1
2021,apache,1,1
2017,api,2,2
2018,api,1,3
2021,api,3,6
2023,api,1,7
2023,apir,2,2
2020,apis,2,2
2023,apis,2,4
2021,appeal,1,1
2018,appear,1,1
2016,appelhans,1,1
2019,applicable,1,1
2018,application,1,1
2019,application,1,2
2021,application,1,3
2016,applications,1,1
2019,applications,1,2
2020,applications,1,3
2021,applications,2,5
2018,applied,1,1
2019,applied,1,2
2017,apply,1,1
2019,apply,1,2
2018,approach,1,1
2019,approach,4,5
2020,approach,2,7
2022,approachable,1,1
2020,appropriate,1,1
2021,appropriate,1,2
2017,apps,1,1
2020,april,1,1
2017,aprof,1,1
2021,areas,1,1
2018,arises,1,1
2021,arithmetic,1,1
2019,arizona,1,1
2018,around,1,1
2019,around,4,5
2020,around,2,7
2019,array,1,1
2017,arrays,2,2
2021,arrow,1,1
2022,article,1,1
2022,articles,2,2
2018,aspects,1,1
2018,assemble,1,1
2017,assess,1,1
2018,assessment,1,1
2019,assessment,3,4
2020,assets,1,1
2023,assigned,1,1
2018,assist,1,1
2022,assist,1,2
2018,assistant,1,1
2021,assistants,1,1
2018,associated,1,1
2021,associated,1,2
2019,assume,2,2
2019,attach,1,1
2021,attitudes,1,1
2021,attract,1,1
2021,attracting,1,1
2018,attractive,1,1
2017,auckland,1,1
2019,audiences,1,1
2021,audiences,1,2
2021,auditing,1,1
2021,auditors,2,2
2017,australia,1,1
2023,authentic,1,1
2021,authenticate,1,1
2020,authentication,1,1
2023,authentication,1,2
2016,authors,1,1
2017,authors,1,2
2018,authors,2,4
2019,automate,1,1
2021,automate,1,2
2023,automate,2,4
2017,automated,2,2
2018,automated,1,3
2020,automated,1,4
2021,automated,1,5
2023,automated,1,6
2023,automates,1,1
2017,automatically,1,1
2022,automatically,1,2
2017,automatises,1,1
2016,available,1,1
2017,available,2,3
2018,available,7,10
2019,available,5,15
2021,available,2,17
2022,available,1,18
2016,awarded,1,1
2017,aws,1,1
2018,aws,3,4
2018,axes,1,1
2018,azure,3,3
2018,b,1,1
2016,back,1,1
2017,backend,4,4
2018,backend,1,5
2021,backend,2,7
2022,backend,1,8
2017,backends,3,3
2018,backends,2,5
2019,backends,1,6
2020,backends,1,7
2021,backends,2,9
2023,backends,1,10
2018,background,2,2
2021,backgrounds,2,2
2016,base,1,1
2017,base,1,2
2016,based,1,1
2018,based,1,2
2019,based,1,3
2020,based,2,5
2021,based,1,6
2022,based,3,9
2023,based,3,12
2019,basic,1,1
2020,basic,1,2
2021,basic,1,3
2016,basics,1,1
2021,basics,1,2
2018,basis,1,1
2022,basis,1,2
2017,become,1,1
2020,become,1,2
2021,becomes,2,2
2021,becoming,1,1
2021,begin,1,1
2022,beginnerfriendly,1,1
2021,behaviour,1,1
2017,benefit,1,1
2019,benefit,1,2
2023,benefiting,1,1
2017,best,2,2
2018,best,2,4
2020,best,2,6
2021,best,1,7
2017,better,1,1
2018,better,1,2
2020,better,1,3
2021,better,2,5
2020,beyond,1,1
2021,beyond,1,2
2022,bias,1,1
2016,big,1,1
2021,big,1,2
2018,binaries,1,1
2017,binary,3,3
2018,binary,1,4
2021,bioconductor,1,1
2021,bioinformatics,1,1
2019,biologists,1,1
2019,biopharmaceutical,2,2
2021,bitesized,1,1
2018,blog,1,1
2022,blogdown,1,1
2021,blood,2,2
2021,bodies,1,1
2020,book,3,3
2021,book,1,4
2019,books,1,1
2019,bounding,1,1
2021,bounding,1,2
2018,box,1,1
2019,box,1,2
2021,box,1,3
2018,boxes,1,1
2019,boyd,1,1
2020,brand,1,1
2019,break,1,1
2016,bridge,1,1
2019,bridge,1,2
2017,bridging,1,1
2020,bring,1,1
2021,bring,1,2
2021,bringing,1,1
2020,brings,1,1
2019,broad,2,2
2021,broad,2,4
2021,broaden,1,1
2019,broadly,1,1
2021,browse,1,1
2021,browserbased,1,1
2018,bugs,1,1
2019,bugs,3,4
2016,build,1,1
2018,build,4,5
2019,build,4,9
2020,build,4,13
2023,build,1,14
2017,building,1,1
2019,building,1,2
2020,building,1,3
2022,building,1,4
2023,building,1,5
2018,buildingblocks,1,1
2018,builds,1,1
2019,built,1,1
2019,builtin,1,1
2017,bulk,1,1
2020,bundle,1,1
2019,burden,2,2
2018,bureau,3,3
2021,business,2,2
2017,c,2,2
2018,c,1,3
2019,c,1,4
2019,calculation,2,2
2019,calculations,1,1
2017,calculus,1,1
2017,call,2,2
2018,called,1,1
2020,called,1,2
2021,called,1,3
2023,called,1,4
2019,calls,1,1
2016,can,1,1
2017,can,3,4
2018,can,8,12
2019,can,5,17
2020,can,3,20
2021,can,5,25
2022,can,1,26
2016,capabilities,4,4
2018,capabilities,3,7
2019,capabilities,1,8
2021,capabilities,1,9
2018,capability,1,1
2019,capability,1,2
2018,captions,1,1
2021,carefully,1,1
2017,case,1,1
2018,case,1,2
2019,case,1,3
2019,cases,3,3
2020,cases,1,4
2018,catalizing,1,1
2021,catalog,1,1
2018,catalogues,1,1
2023,categories,1,1
2017,cc,1,1
2018,cc,1,2
2019,cc,4,6
2018,census,6,6
2021,center,1,1
2016,central,1,1
2019,central,3,4
2020,central,2,6
2020,centralise,1,1
2020,centralize,1,1
2019,certain,1,1
2017,chair,1,1
2020,challenge,1,1
2021,challenge,2,3
2020,challenges,1,1
2018,challenging,1,1
2019,challenging,1,2
2020,chamberlain,1,1
2018,chambers,1,1
2018,chance,1,1
2019,changes,2,2
2021,changes,1,3
2018,changing,1,1
2020,chapter,1,1
2020,chapters,1,1
2018,charts,1,1
2022,checking,1,1
2019,chemical,4,4
2023,chemical,3,7
2019,chemists,1,1
2018,choice,1,1
2018,chose,1,1
2021,chosen,1,1
2016,christoph,1,1
2018,christoph,1,2
2017,citizens,1,1
2017,civil,2,2
2019,class,3,3
2017,classes,1,1
2020,classes,3,4
2019,classic,1,1
2021,client,1,1
2023,clients,1,1
2018,clientserver,1,1
2017,climate,1,1
2021,climb,1,1
2017,cloud,2,2
2018,cloud,2,4
2021,cloud,2,6
2017,cloudbased,1,1
2017,cluster,1,1
2016,code,1,1
2017,code,6,7
2018,code,5,12
2019,code,8,20
2020,code,3,23
2018,codes,3,3
2019,coding,2,2
2021,coding,2,4
2022,coding,1,5
2018,collaborate,1,1
2016,collaboration,1,1
2018,collaborative,2,2
2020,collated,1,1
2019,collating,1,1
2019,collector,1,1
2018,color,2,2
2018,colors,1,1
2018,combination,1,1
2018,combine,1,1
2017,come,1,1
2021,comfortable,1,1
2016,comments,1,1
2017,commingles,1,1
2016,common,1,1
2018,common,2,3
2019,common,1,4
2021,common,2,6
2017,commons,1,1
2019,communicating,1,1
2018,communication,1,1
2023,communication,1,2
2021,communications,1,1
2023,communications,1,2
2019,communities,1,1
2020,communities,3,4
2016,community,2,2
2017,community,2,4
2018,community,4,8
2019,community,4,12
2020,community,2,14
2021,community,2,16
2022,community,7,23
2023,community,2,25
2016,communityled,1,1
2018,companies,2,2
2017,compatibility,1,1
2018,compatibility,1,2
2020,compatibility,1,3
2021,compatibility,1,4
2023,compatibility,2,6
2016,compatible,1,1
2017,compiler,1,1
2018,compiler,1,2
2020,complement,1,1
2022,complement,1,2
2019,complementary,1,1
2019,complete,1,1
2021,complete,2,3
2018,completeness,1,1
2018,complex,3,3
2022,complex,1,4
2021,compliant,1,1
2018,component,2,2
2019,component,1,3
2023,compound,2,2
2023,compounds,1,1
2018,comprehension,1,1
2022,comprehensive,1,1
2023,compromised,1,1
2021,computation,1,1
2019,computations,1,1
2019,computer,1,1
2017,computing,3,3
2018,computing,1,4
2019,computing,1,5
2020,computing,1,6
2019,concept,1,1
2019,conceptual,1,1
2018,concern,1,1
2016,concerns,1,1
2016,conditions,1,1
2017,conduct,1,1
2021,conduct,1,2
2017,conducted,1,1
2017,conference,2,2
2021,conference,1,3
2016,conferences,1,1
2017,conform,1,1
2017,conformance,1,1
2018,confusion,1,1
2020,connection,1,1
2023,connections,1,1
2017,consequence,1,1
2017,consider,1,1
2016,considerable,1,1
2016,considerations,1,1
2021,considered,1,1
2018,consist,1,1
2022,consist,1,2
2018,consistency,2,2
2018,consistent,3,3
2020,consolidate,2,2
2016,consortium,1,1
2017,consortium,2,3
2018,consortium,6,9
2019,consortium,1,10
2022,consortium,1,11
2018,construction,1,1
2021,consuming,1,1
2017,contact,1,1
2018,contact,2,3
2017,contain,1,1
2020,containing,1,1
2017,content,1,1
2018,content,2,3
2022,content,1,4
2019,contents,1,1
2021,contents,1,2
2021,continent,1,1
2018,continuing,1,1
2022,continuing,1,2
2020,continuously,1,1
2018,contribute,1,1
2019,contribute,2,3
2020,contribute,2,5
2021,contribute,3,8
2020,contributed,1,1
2019,contributions,1,1
2020,contributions,1,2
2018,contributors,1,1
2020,contributors,1,2
2019,convenient,1,1
2018,convert,1,1
2020,converters,1,1
2019,convex,2,2
2018,cooperate,1,1
2019,coordinates,5,5
2021,coordinators,3,3
2020,copula,1,1
2018,copyediting,1,1
2019,core,1,1
2021,core,2,3
2016,cornerstone,1,1
2018,correlated,1,1
2019,corresponding,1,1
2017,countries,2,2
2021,countries,5,7
2021,country,1,1
2017,countryrelevant,1,1
2016,course,1,1
2021,course,2,3
2022,course,1,4
2021,courses,1,1
2019,cover,1,1
2019,coveragedriven,2,2
2020,covid,5,5
2017,cran,4,4
2018,cran,5,9
2020,cran,5,14
2021,cran,6,20
2022,cran,1,21
2023,cran,1,22
2021,cranecosystem,1,1
2016,create,1,1
2017,create,3,4
2018,create,4,8
2019,create,2,10
2020,create,3,13
2021,create,5,18
2022,create,1,19
2016,creating,2,2
2018,creating,3,5
2019,creating,1,6
2020,creating,1,7
2017,creation,1,1
2018,creation,3,4
2019,creation,1,5
2022,creation,2,7
2023,creation,1,8
2017,creative,1,1
2019,creators,1,1
2019,critical,2,2
2020,critical,1,3
2020,crm,1,1
2019,crossindustry,1,1
2020,crucial,2,2
2022,crucial,1,3
2020,crul,1,1
2017,csos,1,1
2020,csárdi,1,1
2021,culminating,1,1
2021,cultural,1,1
2020,curate,1,1
2022,curated,1,1
2020,curating,1,1
2020,curator,1,1
2020,curl,1,1
2016,current,2,2
2018,current,2,4
2019,current,2,6
2020,current,2,8
2021,current,1,9
2022,current,2,11
2023,current,1,12
2016,currently,2,2
2018,currently,3,5
2019,currently,5,10
2018,curriculum,1,1
2021,curriculum,3,4
2019,curve,1,1
2019,curves,1,1
2018,custom,1,1
2021,customizations,1,1
2018,customize,1,1
2021,customized,1,1
2019,cvxpy,1,1
2019,cvxr,3,3
2019,cyber,1,1
2019,d,3,3
2022,d,1,4
2018,daily,1,1
2018,daróczi,1,1
2018,dashboards,1,1
2016,data,13,13
2017,data,18,31
2018,data,20,51
2019,data,8,59
2020,data,18,77
2021,data,34,111
2022,data,15,126
2023,data,4,130
2016,database,2,2
2017,database,2,4
2018,database,2,6
2020,database,4,10
2021,database,1,11
2018,databases,1,1
2019,databases,2,3
2020,databases,1,4
2021,databases,2,6
2023,databases,3,9
2018,datadriven,2,2
2022,dataset,1,1
2018,datasets,2,2
2021,datasets,2,4
2022,datasets,3,7
2020,date,1,1
2017,day,2,2
2017,dbi,4,4
2018,dbi,6,10
2021,dbi,3,13
2023,dbi,1,14
2018,dbitest,1,1
2021,dbitest,1,2
2023,dbitest,1,3
2020,dbplyr,1,1
2019,dcp,1,1
2017,ddr,2,2
2019,deal,1,1
2020,debugging,1,1
2018,decades,1,1
2021,decimals,1,1
2018,decipher,1,1
2018,declared,1,1
2019,deconstruction,1,1
2017,dedicated,1,1
2022,deep,1,1
2019,deepstate,3,3
2022,default,1,1
2018,define,1,1
2018,defined,1,1
2019,defined,1,2
2017,defines,1,1
2017,deliver,1,1
2019,deliver,1,2
2022,deliver,1,3
2022,deliverable,1,1
2016,demand,1,1
2022,dengue,7,7
2017,dense,1,1
2018,dependence,1,1
2020,dependence,1,2
2017,dependencies,1,1
2020,dependencies,1,2
2019,depicting,1,1
2018,deploy,2,2
2021,deploy,1,3
2021,deployable,1,1
2020,deployed,1,1
2018,deploying,2,2
2022,deployment,1,1
2017,deployments,1,1
2021,depositing,1,1
2021,deprived,2,2
2019,derivatives,1,1
