year,january,february,march,april,may,june,july,august,september,october,november,december
2014,2.71,4.58,4.38,8.6,3.35,3.95,2.8,7.9,3.21,4.16,3.36,3.58
2015,3.89,2.24,4.67,4.3,2.1,13.09,3.49,2.46,3.25,3.4,2.42,5.85
2016,3.5,5.7,2.1,1.31,5.24,3.2,6.09,3.96,4.36,0.78,1.51,2.77
2017,2.69,1.46,3.82,3.52,5.64,1.4,7.11,4.6,1.95,2.99,2.15,0.95
2018,1,5.3,2.25,3.2,8.17,4.77,16.73,3.84,9.19,2.69,8.14,6.54
2019,3.15,3.64,4.14,1.46,5.51,2.95,3.85,2.39,0.16,6.21,1.1,3.57
2020,3.11,2.98,3.05,5.52,1.76,5.95,3.43,11.81,4.48,4.36,6.35,4.58
2021,2.15,4.85,3.9,2.07,3.63,2.75,3.65,4.36,6.04,5.24,1.33,0.82
2022,4.27,2.31,3.13,3.92,5.39,2.95,6.25,3.71,3.35,4.66,2.44,4.8
2023,1.68,2.18,1.49,4.12,0.55,4.31,6.84,3.73,6.27,1.13,2.8,7.16
