name,year_fiscal_sponsor,n_sponsored,website,cat
#TeenWritersProject,2020,2,teenwritersproject.org,Economic Development
#TeenWritersProject,2020,2,teenwritersproject.org,Education
"50CAN, Inc.",2016,10,50can.org,Education
A God Send,2018,7,agodsend.org/,Education
AIDS Connecticut (ACT),2004,1,www.aids-ct.org,Economic Development
AJ Muste Memorial Institute,1973,15,ajmuste.org/,Education
Accessible Festivals,2017,6,accessiblefestivals.org,Education
"African Voices Communications, Inc",1997,1,www.africanvoices.com,Education
American Muslim Community Foundation,2019,13,amuslimcf.org,Economic Development
American Muslim Community Foundation,2019,13,amuslimcf.org,Education
Angels for Angels,2013,20,www.angelsforangels.net,Economic Development
Angels for Angels,2013,20,www.angelsforangels.net,Education
Arts & Business Council of Greater Nashville,2011,12,www.abcnashville.org,Economic Development
Association Building Community,2003,0,abcglobal.net,Economic Development
Association Building Community,2003,0,abcglobal.net,Education
BASICS,1997,11,basicsinmke.org,Economic Development
BASICS,1997,11,basicsinmke.org,Education
Baltimore Civic Fund,1981,100,www.baltimorecivicfund.org,Economic Development
Baltimore Civic Fund,1981,100,www.baltimorecivicfund.org,Education
Bay Area Video Coalition,1977,45,www.bavc.org,Education
Betty Jean Brown Foundation,2015,1,www.bettyjeanbrown.org,Economic Development
Betty Jean Brown Foundation,2015,1,www.bettyjeanbrown.org,Education
Billings Community Foundation,2015,19,billingscommunityfoundation.org,Economic Development
Billings Community Foundation,2015,19,billingscommunityfoundation.org,Education
Bmore Empowered Inc.,2018,15,www.bmoreempowered.org,Education
Broncos Kitchen Foundation,2021,3,www.broncoskitchenfoundation.org,Economic Development
CENTER Santa Fe,1994,4,visitcenter.org/blue-earth-sponsorship/,Economic Development
CENTER Santa Fe,1994,4,visitcenter.org/blue-earth-sponsorship/,Education
CORE Community Organized Relief Effort,2023,3,coreresponse.org,Economic Development
CORE Foundation Inc,2007,35,corefoundation.org/,Economic Development
CORE Foundation Inc,2007,35,corefoundation.org/,Education
CascadiaNow!,2015,12,cascadianow.org,Economic Development
CascadiaNow!,2015,12,cascadianow.org,Education
Center for Community Stewardship,2009,65,www.community-stewardship.org,Economic Development
Center for Community Stewardship,2009,65,www.community-stewardship.org,Education
Center for Social Change,2015,15,4socialchange.org,Economic Development
Center for Social Change,2015,15,4socialchange.org,Education
Chalice Oak Foundation,2013,2,www.chaliceoak.org,Economic Development
Charitable Ventures,2008,42,www.charitableventuresoc.org,Education
"Clearwater Resource Conservation and Development Council, Inc.",1990,25,www.clearwaterrcd.org,Economic Development
