user_id,apparel,bags,shop_by_brand,drinkware,new,clearance,accessories,campus_collection,office,lifestyle,small_goods,uncategorized_items,stationery,google,writing_instruments,fun,unknown,electronics_accessories,notebooks_journals,gift_cards,black_lives_matter
vqnzdyytdx,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lhkctjeylp,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fkgfswdpur,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bycrrxogpw,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xdecczvgbh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xgnuumwqjg,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cshynshfqg,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qifwtgogoz,15,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
rqqiiqgaly,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ajijgnjdyz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dootkphyen,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eokjveyewk,1,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
xkwghasxbt,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pdfbhgrzjz,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
jthzqbftvf,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
slkmyfzgdo,3,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
zwdypcsrqr,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
hjjmkgwimz,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdlauyxgxv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khasumbnkc,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xzkrsafacr,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xgewkfottc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zjgbdiqlrp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pjhidvlgmq,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qksqqiqfjm,0,0,2,0,1,1,2,1,4,0,0,6,0,1,4,0,0,0,0,0,0
cdykzwveuk,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gligjexpvi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zthyxavmkr,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hserddtjci,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yigpconufy,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vjtnarkbau,0,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ddkqizdavv,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pvrjtdtdie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsnyjqdhvs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iceercxyjj,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tmwyxrxcpn,6,0,1,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
oqqqmhcsbh,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
titjwjazdl,4,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pjoxghfdvq,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
brqjuadzzj,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
cmcnbpxtzk,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
nfujlcvnct,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azbonfnumt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hzthxavzqx,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
udoaucalyk,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usgengapfw,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tbbtzjfbiz,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purbcsyyga,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
uikejluard,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adtbtmfezr,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghggpsstti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ubblgupnrd,12,0,0,9,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0
sjlwxdxjzu,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rkplpbpeft,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fdmnmgwxcm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ykuxbgayla,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bkaiualxor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuvfqtxmyo,4,1,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
