date,hits,keyword,geo,time,gprop,category
2018-01-01T00:00:00Z,40,public media,US,2018-01-01 2024-05-31,web,0
2018-02-01T00:00:00Z,48,public media,US,2018-01-01 2024-05-31,web,0
2018-03-01T00:00:00Z,48,public media,US,2018-01-01 2024-05-31,web,0
2018-04-01T00:00:00Z,54,public media,US,2018-01-01 2024-05-31,web,0
2018-05-01T00:00:00Z,43,public media,US,2018-01-01 2024-05-31,web,0
2018-06-01T00:00:00Z,35,public media,US,2018-01-01 2024-05-31,web,0
2018-07-01T00:00:00Z,33,public media,US,2018-01-01 2024-05-31,web,0
2018-08-01T00:00:00Z,35,public media,US,2018-01-01 2024-05-31,web,0
2018-09-01T00:00:00Z,43,public media,US,2018-01-01 2024-05-31,web,0
2018-10-01T00:00:00Z,52,public media,US,2018-01-01 2024-05-31,web,0
2018-11-01T00:00:00Z,49,public media,US,2018-01-01 2024-05-31,web,0
2018-12-01T00:00:00Z,39,public media,US,2018-01-01 2024-05-31,web,0
2019-01-01T00:00:00Z,40,public media,US,2018-01-01 2024-05-31,web,0
2019-02-01T00:00:00Z,45,public media,US,2018-01-01 2024-05-31,web,0
2019-03-01T00:00:00Z,45,public media,US,2018-01-01 2024-05-31,web,0
2019-04-01T00:00:00Z,52,public media,US,2018-01-01 2024-05-31,web,0
2019-05-01T00:00:00Z,44,public media,US,2018-01-01 2024-05-31,web,0
2019-06-01T00:00:00Z,35,public media,US,2018-01-01 2024-05-31,web,0
2019-07-01T00:00:00Z,30,public media,US,2018-01-01 2024-05-31,web,0
2019-08-01T00:00:00Z,29,public media,US,2018-01-01 2024-05-31,web,0
2019-09-01T00:00:00Z,45,public media,US,2018-01-01 2024-05-31,web,0
2019-10-01T00:00:00Z,50,public media,US,2018-01-01 2024-05-31,web,0
2019-11-01T00:00:00Z,47,public media,US,2018-01-01 2024-05-31,web,0
2019-12-01T00:00:00Z,38,public media,US,2018-01-01 2024-05-31,web,0
2020-01-01T00:00:00Z,35,public media,US,2018-01-01 2024-05-31,web,0
2020-02-01T00:00:00Z,45,public media,US,2018-01-01 2024-05-31,web,0
2020-03-01T00:00:00Z,47,public media,US,2018-01-01 2024-05-31,web,0
2020-04-01T00:00:00Z,55,public media,US,2018-01-01 2024-05-31,web,0
2020-05-01T00:00:00Z,46,public media,US,2018-01-01 2024-05-31,web,0
2020-06-01T00:00:00Z,40,public media,US,2018-01-01 2024-05-31,web,0
2020-07-01T00:00:00Z,38,public media,US,2018-01-01 2024-05-31,web,0
2020-08-01T00:00:00Z,35,public media,US,2018-01-01 2024-05-31,web,0
2020-09-01T00:00:00Z,48,public media,US,2018-01-01 2024-05-31,web,0
2020-10-01T00:00:00Z,53,public media,US,2018-01-01 2024-05-31,web,0
2020-11-01T00:00:00Z,47,public media,US,2018-01-01 2024-05-31,web,0
2020-12-01T00:00:00Z,39,public media,US,2018-01-01 2024-05-31,web,0
2021-01-01T00:00:00Z,35,public media,US,2018-01-01 2024-05-31,web,0
2021-02-01T00:00:00Z,39,public media,US,2018-01-01 2024-05-31,web,0
2021-03-01T00:00:00Z,42,public media,US,2018-01-01 2024-05-31,web,0
2021-04-01T00:00:00Z,46,public media,US,2018-01-01 2024-05-31,web,0
2021-05-01T00:00:00Z,42,public media,US,2018-01-01 2024-05-31,web,0
2021-06-01T00:00:00Z,28,public media,US,2018-01-01 2024-05-31,web,0
2021-07-01T00:00:00Z,27,public media,US,2018-01-01 2024-05-31,web,0
2021-08-01T00:00:00Z,27,public media,US,2018-01-01 2024-05-31,web,0
2021-09-01T00:00:00Z,38,public media,US,2018-01-01 2024-05-31,web,0
2021-10-01T00:00:00Z,46,public media,US,2018-01-01 2024-05-31,web,0
2021-11-01T00:00:00Z,48,public media,US,2018-01-01 2024-05-31,web,0
2021-12-01T00:00:00Z,44,public media,US,2018-01-01 2024-05-31,web,0
2022-01-01T00:00:00Z,44,public media,US,2018-01-01 2024-05-31,web,0
2022-02-01T00:00:00Z,68,public media,US,2018-01-01 2024-05-31,web,0
2022-03-01T00:00:00Z,61,public media,US,2018-01-01 2024-05-31,web,0
2022-04-01T00:00:00Z,77,public media,US,2018-01-01 2024-05-31,web,0
2022-05-01T00:00:00Z,63,public media,US,2018-01-01 2024-05-31,web,0
2022-06-01T00:00:00Z,45,public media,US,2018-01-01 2024-05-31,web,0
2022-07-01T00:00:00Z,40,public media,US,2018-01-01 2024-05-31,web,0
2022-08-01T00:00:00Z,44,public media,US,2018-01-01 2024-05-31,web,0
2022-09-01T00:00:00Z,55,public media,US,2018-01-01 2024-05-31,web,0
2022-10-01T00:00:00Z,63,public media,US,2018-01-01 2024-05-31,web,0
2022-11-01T00:00:00Z,68,public media,US,2018-01-01 2024-05-31,web,0
2022-12-01T00:00:00Z,69,public media,US,2018-01-01 2024-05-31,web,0
2023-01-01T00:00:00Z,52,public media,US,2018-01-01 2024-05-31,web,0
2023-02-01T00:00:00Z,67,public media,US,2018-01-01 2024-05-31,web,0
2023-03-01T00:00:00Z,70,public media,US,2018-01-01 2024-05-31,web,0
2023-04-01T00:00:00Z,75,public media,US,2018-01-01 2024-05-31,web,0
2023-05-01T00:00:00Z,69,public media,US,2018-01-01 2024-05-31,web,0
2023-06-01T00:00:00Z,51,public media,US,2018-01-01 2024-05-31,web,0
2023-07-01T00:00:00Z,45,public media,US,2018-01-01 2024-05-31,web,0
2023-08-01T00:00:00Z,46,public media,US,2018-01-01 2024-05-31,web,0
2023-09-01T00:00:00Z,62,public media,US,2018-01-01 2024-05-31,web,0
2023-10-01T00:00:00Z,77,public media,US,2018-01-01 2024-05-31,web,0
2023-11-01T00:00:00Z,82,public media,US,2018-01-01 2024-05-31,web,0
2023-12-01T00:00:00Z,66,public media,US,2018-01-01 2024-05-31,web,0
2024-01-01T00:00:00Z,64,public media,US,2018-01-01 2024-05-31,web,0
2024-02-01T00:00:00Z,79,public media,US,2018-01-01 2024-05-31,web,0
2024-03-01T00:00:00Z,94,public media,US,2018-01-01 2024-05-31,web,0
2024-04-01T00:00:00Z,100,public media,US,2018-01-01 2024-05-31,web,0
2024-05-01T00:00:00Z,74,public media,US,2018-01-01 2024-05-31,web,0
2018-01-01T00:00:00Z,100,public tv,US,2018-01-01 2024-05-31,web,0
2018-02-01T00:00:00Z,94,public tv,US,2018-01-01 2024-05-31,web,0
2018-03-01T00:00:00Z,96,public tv,US,2018-01-01 2024-05-31,web,0
2018-04-01T00:00:00Z,86,public tv,US,2018-01-01 2024-05-31,web,0
2018-05-01T00:00:00Z,88,public tv,US,2018-01-01 2024-05-31,web,0
2018-06-01T00:00:00Z,86,public tv,US,2018-01-01 2024-05-31,web,0
2018-07-01T00:00:00Z,82,public tv,US,2018-01-01 2024-05-31,web,0
2018-08-01T00:00:00Z,80,public tv,US,2018-01-01 2024-05-31,web,0
2018-09-01T00:00:00Z,92,public tv,US,2018-01-01 2024-05-31,web,0
2018-10-01T00:00:00Z,80,public tv,US,2018-01-01 2024-05-31,web,0
2018-11-01T00:00:00Z,85,public tv,US,2018-01-01 2024-05-31,web,0
2018-12-01T00:00:00Z,77,public tv,US,2018-01-01 2024-05-31,web,0
2019-01-01T00:00:00Z,91,public tv,US,2018-01-01 2024-05-31,web,0
2019-02-01T00:00:00Z,91,public tv,US,2018-01-01 2024-05-31,web,0
2019-03-01T00:00:00Z,86,public tv,US,2018-01-01 2024-05-31,web,0
2019-04-01T00:00:00Z,81,public tv,US,2018-01-01 2024-05-31,web,0
2019-05-01T00:00:00Z,86,public tv,US,2018-01-01 2024-05-31,web,0
2019-06-01T00:00:00Z,78,public tv,US,2018-01-01 2024-05-31,web,0
2019-07-01T00:00:00Z,85,public tv,US,2018-01-01 2024-05-31,web,0
2019-08-01T00:00:00Z,85,public tv,US,2018-01-01 2024-05-31,web,0
2019-09-01T00:00:00Z,90,public tv,US,2018-01-01 2024-05-31,web,0
2019-10-01T00:00:00Z,80,public tv,US,2018-01-01 2024-05-31,web,0
2019-11-01T00:00:00Z,87,public tv,US,2018-01-01 2024-05-31,web,0
2019-12-01T00:00:00Z,77,public tv,US,2018-01-01 2024-05-31,web,0
2020-01-01T00:00:00Z,78,public tv,US,2018-01-01 2024-05-31,web,0
2020-02-01T00:00:00Z,86,public tv,US,2018-01-01 2024-05-31,web,0
2020-03-01T00:00:00Z,96,public tv,US,2018-01-01 2024-05-31,web,0
2020-04-01T00:00:00Z,92,public tv,US,2018-01-01 2024-05-31,web,0
2020-05-01T00:00:00Z,77,public tv,US,2018-01-01 2024-05-31,web,0
2020-06-01T00:00:00Z,76,public tv,US,2018-01-01 2024-05-31,web,0
2020-07-01T00:00:00Z,78,public tv,US,2018-01-01 2024-05-31,web,0
2020-08-01T00:00:00Z,80,public tv,US,2018-01-01 2024-05-31,web,0
2020-09-01T00:00:00Z,75,public tv,US,2018-01-01 2024-05-31,web,0
2020-10-01T00:00:00Z,79,public tv,US,2018-01-01 2024-05-31,web,0
2020-11-01T00:00:00Z,76,public tv,US,2018-01-01 2024-05-31,web,0
2020-12-01T00:00:00Z,77,public tv,US,2018-01-01 2024-05-31,web,0
2021-01-01T00:00:00Z,76,public tv,US,2018-01-01 2024-05-31,web,0
2021-02-01T00:00:00Z,81,public tv,US,2018-01-01 2024-05-31,web,0
2021-03-01T00:00:00Z,71,public tv,US,2018-01-01 2024-05-31,web,0
2021-04-01T00:00:00Z,66,public tv,US,2018-01-01 2024-05-31,web,0
2021-05-01T00:00:00Z,65,public tv,US,2018-01-01 2024-05-31,web,0
2021-06-01T00:00:00Z,57,public tv,US,2018-01-01 2024-05-31,web,0
2021-07-01T00:00:00Z,63,public tv,US,2018-01-01 2024-05-31,web,0
2021-08-01T00:00:00Z,64,public tv,US,2018-01-01 2024-05-31,web,0
2021-09-01T00:00:00Z,64,public tv,US,2018-01-01 2024-05-31,web,0
